id,name,city,state,nickname,prestige,conferenceId
durme,Durham Metropolitan,Durham,NC,Demons,92,acc
carun,Carolina University,Chapel Hill,NC,Carolina Blue,94,acc
chaco,Charlottesville College,Charlottesville,VA,Cavs,88,acc
loume,Louisville Metropolitan,Louisville,KY,Redbirds,72,acc
syrst,Syracuse State,Syracuse,NY,Citrus,70,acc
ralin,Raleigh Institute,Raleigh,NC,Panthers,75,acc
talin,Tallahassee Institute,Tallahassee,FL,Warriors,76,acc
corga,Coral Gables State,Coral Gables,FL,Storm,78,acc
soube,South Bend Tech,South Bend,IN,Shamrocks,71,acc
cleme,Clemson Metropolitan,Clemson,SC,Panthers,74,acc
winco,Winston-Salem College,Winston-Salem,NC,Deacons,65,acc
blaco,Blacksburg College,Blacksburg,VA,Techies,68,acc
pitun,Pittsburgh University,Pittsburgh,PA,Wildcats,66,acc
atlun,Atlanta University,Atlanta,GA,Bees,62,acc
chehi,Chestnut Hill Metropolitan,Chestnut Hill,MA,Falcons,58,acc
ingst,Ingham State,East Lansing,MI,Warriors,87,big-ten
wasun,Washtenaw University,Ann Arbor,MI,Wolves,82,big-ten
monun,Monroe University,Bloomington,IN,Hoosiers,72,big-ten
lafte,West Lafayette Tech,West Lafayette,IN,Engineers,88,big-ten
colte,Columbus Tech,Columbus,OH,Bucks,79,big-ten
madun,Madison University,Madison,WI,Badgers,77,big-ten
prige,Prince George's University,College Park,MD,Bears,74,big-ten
iowci,Iowa City College,Iowa City,IA,Eagles,73,big-ten
chaco1,Champaign College,Champaign,IL,Panthers,75,big-ten
minco,Minneapolis College,Minneapolis,MN,Tigers,64,big-ten
evain,Evanston Institute,Evanston,IL,Cougars,66,big-ten
cenun,Centre University,State College,PA,Wildcats,63,big-ten
linin,Lincoln Institute,Lincoln,NE,Lions,60,big-ten
pisun,Piscataway University,Piscataway,NJ,Lions,64,big-ten
lexst,Lexington State,Lexington,KY,Cougars,90,sec
gaico,Gainesville College,Gainesville,FL,Swampers,78,sec
knoun,Knoxville University,Knoxville,TN,Vols,82,sec
